"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 24 08:55:22 MSK 2025","Wed Dec 24 08:55:22 MSK 2025","91","","tests.UserCreationTest","","tests.UserCreationTest","createUserWithoutEmailShouldFail","Создание пользователя без email",""
"passed","Wed Dec 24 08:55:22 MSK 2025","Wed Dec 24 08:55:22 MSK 2025","271","","tests.UserCreationTest","","tests.UserCreationTest","createDuplicateUserShouldFail","Создание пользователя, который уже зарегистрирован",""
"passed","Wed Dec 24 08:55:34 MSK 2025","Wed Dec 24 08:55:35 MSK 2025","1121","","tests.OrderCreationTest","","tests.OrderCreationTest","createOrderWithAuthButEmptyIngredients","Создание заказа с авторизацией, но пустым списком ингредиентов",""
"passed","Wed Dec 24 08:55:17 MSK 2025","Wed Dec 24 08:55:22 MSK 2025","4870","","tests.UserOrdersTest","","tests.UserOrdersTest","getUserOrdersWithAuthorization","Получение заказов авторизованного пользователя",""
"passed","Wed Dec 24 08:55:11 MSK 2025","Wed Dec 24 08:55:12 MSK 2025","1130","","tests.UserLoginTest","","tests.UserLoginTest","loginWithValidCredentials","Логин под существующим пользователем",""
"passed","Wed Dec 24 08:55:22 MSK 2025","Wed Dec 24 08:55:23 MSK 2025","893","","tests.UserCreationTest","","tests.UserCreationTest","createUniqueUserSuccessfully","Создание уникального пользователя",""
"passed","Wed Dec 24 08:55:23 MSK 2025","Wed Dec 24 08:55:27 MSK 2025","4300","","tests.OrderCreationTest","","tests.OrderCreationTest","createOrderWithAuthAndIngredients","Создание заказа с авторизацией и ингредиентами",""
"passed","Wed Dec 24 08:55:29 MSK 2025","Wed Dec 24 08:55:30 MSK 2025","1097","","tests.OrderCreationTest","","tests.OrderCreationTest","createOrderWithoutAuth","Создание заказа без авторизации",""
"passed","Wed Dec 24 08:55:23 MSK 2025","Wed Dec 24 08:55:23 MSK 2025","97","","tests.UserCreationTest","","tests.UserCreationTest","createUserWithoutPasswordShouldFail","Создание пользователя без пароля",""
"passed","Wed Dec 24 08:55:27 MSK 2025","Wed Dec 24 08:55:29 MSK 2025","1222","","tests.OrderCreationTest","","tests.OrderCreationTest","createOrderWithInvalidIngredientHash","Создание заказа с неверным хешем ингредиентов",""
"passed","Wed Dec 24 08:55:22 MSK 2025","Wed Dec 24 08:55:22 MSK 2025","95","","tests.UserCreationTest","","tests.UserCreationTest","createUserWithoutNameShouldFail","Создание пользователя без имени",""
"passed","Wed Dec 24 08:55:41 MSK 2025","Wed Dec 24 08:55:42 MSK 2025","973","","tests.UserUpdateTest","","tests.UserUpdateTest","updateUserWithoutAuthorizationShouldFail","Изменение данных без авторизации",""
"passed","Wed Dec 24 08:55:42 MSK 2025","Wed Dec 24 08:55:43 MSK 2025","1125","","tests.UserUpdateTest","","tests.UserUpdateTest","updateNameWithAuthorization","Изменение имени с авторизацией",""
"passed","Wed Dec 24 08:55:40 MSK 2025","Wed Dec 24 08:55:41 MSK 2025","1130","","tests.OrderCreationTest","","tests.OrderCreationTest","createOrderWithoutIngredientsShouldFail","Создание заказа без ингредиентов",""
"passed","Wed Dec 24 08:55:44 MSK 2025","Wed Dec 24 08:55:45 MSK 2025","1248","","tests.UserUpdateTest","","tests.UserUpdateTest","updatePasswordWithAuthorization","Изменение пароля с авторизацией",""
"passed","Wed Dec 24 08:55:12 MSK 2025","Wed Dec 24 08:55:17 MSK 2025","4394","","tests.UserOrdersTest","","tests.UserOrdersTest","getUserOrdersWithoutAuthorizationShouldFail","Получение заказов неавторизованного пользователя",""
"passed","Wed Dec 24 08:55:35 MSK 2025","Wed Dec 24 08:55:39 MSK 2025","4327","","tests.OrderCreationTest","","tests.OrderCreationTest","createOrderWithOnlyBun","Создание заказа только с булкой",""
"passed","Wed Dec 24 08:55:10 MSK 2025","Wed Dec 24 08:55:11 MSK 2025","1040","","tests.UserLoginTest","","tests.UserLoginTest","loginWithInvalidPassword","Логин с неверным паролем",""
"passed","Wed Dec 24 08:55:08 MSK 2025","Wed Dec 24 08:55:10 MSK 2025","1913","","tests.UserLoginTest","","tests.UserLoginTest","loginWithInvalidEmail","Логин с неверным email",""
"passed","Wed Dec 24 08:55:30 MSK 2025","Wed Dec 24 08:55:34 MSK 2025","4296","","tests.OrderCreationTest","","tests.OrderCreationTest","createOrderWithMultipleIngredients","Создание заказа с несколькими ингредиентами",""
"passed","Wed Dec 24 08:55:43 MSK 2025","Wed Dec 24 08:55:44 MSK 2025","1101","","tests.UserUpdateTest","","tests.UserUpdateTest","updateEmailWithAuthorization","Изменение email с авторизацией",""
