"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 29 10:09:21 MSK 2025","Mon Dec 29 10:09:24 MSK 2025","3328","","tests.LoginTest","","tests.LoginTest","testLoginFromRegisterForm","Вход через кнопку в форме регистрации",""
"passed","Mon Dec 29 10:09:57 MSK 2025","Mon Dec 29 10:10:02 MSK 2025","4807","","tests.LogoutTest","","tests.LogoutTest","testLogout","Выход из аккаунта",""
"passed","Mon Dec 29 10:09:54 MSK 2025","Mon Dec 29 10:09:57 MSK 2025","3520","","tests.NavigationTest","","tests.NavigationTest","testNavigateFromProfileToConstructorViaLogo","Переход из личного кабинета в конструктор по клику на логотип",""
"passed","Mon Dec 29 10:09:50 MSK 2025","Mon Dec 29 10:09:54 MSK 2025","3676","","tests.NavigationTest","","tests.NavigationTest","testNavigateFromProfileToConstructorViaLink","Переход из личного кабинета в конструктор по клику на 'Конструктор'",""
"passed","Mon Dec 29 10:10:02 MSK 2025","Mon Dec 29 10:10:07 MSK 2025","5282","","tests.RegisterTest","","tests.RegisterTest","testRegistrationWithInvalidPassword","Ошибка при регистрации с некорректным паролем",""
"passed","Mon Dec 29 10:09:46 MSK 2025","Mon Dec 29 10:09:50 MSK 2025","4279","","tests.NavigationTest","","tests.NavigationTest","testNavigateToPersonalAccount","Переход в личный кабинет",""
"passed","Mon Dec 29 10:09:33 MSK 2025","Mon Dec 29 10:09:37 MSK 2025","3525","","tests.ConstructorTest","","tests.ConstructorTest","testNavigateToSaucesSection","Переход к разделу 'Соусы'",""
"passed","Mon Dec 29 10:10:07 MSK 2025","Mon Dec 29 10:10:13 MSK 2025","5869","","tests.RegisterTest","","tests.RegisterTest","testSuccessfulRegistration","Успешная регистрация",""
"passed","Mon Dec 29 10:09:15 MSK 2025","Mon Dec 29 10:09:21 MSK 2025","5578","","tests.LoginTest","","tests.LoginTest","testLoginFromForgotPasswordForm","Вход через кнопку в форме восстановления пароля",""
"passed","Mon Dec 29 10:09:37 MSK 2025","Mon Dec 29 10:09:42 MSK 2025","5436","","tests.ConstructorTest","","tests.ConstructorTest","testNavigateToToppingsSection","Переход к разделу 'Начинки'",""
"passed","Mon Dec 29 10:09:24 MSK 2025","Mon Dec 29 10:09:28 MSK 2025","4009","","tests.LoginTest","","tests.LoginTest","testLoginFromMainPage","Вход по кнопке 'Войти в аккаунт' на главной",""
"passed","Mon Dec 29 10:09:28 MSK 2025","Mon Dec 29 10:09:33 MSK 2025","5067","","tests.LoginTest","","tests.LoginTest","testLoginFromPersonalAccountButton","Вход через кнопку 'Личный кабинет'",""
"passed","Mon Dec 29 10:09:42 MSK 2025","Mon Dec 29 10:09:46 MSK 2025","3280","","tests.ConstructorTest","","tests.ConstructorTest","testNavigateToBunsSection","Переход к разделу 'Булки'",""
